TeamExp,ManagerExp,Transactions,Entities,PointsNonAdjust,Adjustment,LanguageLevel,Effort
3,3,220,51,323,0.91,1,7172
3,7,296,24,289,0.89,1,5614
2,7,181,89,417,0.95,3,6162
6,9,83,40,193,1.0,1,4003
5,9,252,33,285,1.02,2,4757
7,7,215,25,256,1.09,2,4479
3,7,230,66,398,0.94,1,8872
2,8,196,57,312,1.23,1,8819
8,5,312,66,437,1.02,1,8555
6,8,116,41,229,1.18,1,5466
9,6,218,48,318,1.23,1,7117
5,9,96,60,261,0.97,1,4913
7,4,335,70,487,0.91,1,9289
5,8,214,74,410,1.03,1,7754
4,7,332,31,341,1.24,1,8252
4,9,296,28,324,1.02,2,5478
6,7,85,34,184,1.19,3,3500
7,3,230,75,399,1.05,3,5990
6,7,171,84,374,1.24,2,7420
5,4,271,40,350,1.28,3,6115
2,7,245,82,423,0.9,2,7696
6,4,109,50,253,1.28,1,6842
9,9,115,88,344,0.91,2,4577
4,5,350,74,495,1.27,3,8659
5,8,239,71,407,1.05,3,5627
9,3,206,48,292,1.0,3,3869
5,7,192,20,197,1.17,1,4504
5,3,96,62,246,1.08,2,5066
9,4,147,80,352,1.2,2,6619
5,3,129,75,330,1.04,2,6331
2,8,130,27,190,1.18,1,4812
5,4,177,88,413,0.91,1,9047
6,6,207,29,260,1.21,3,4303
3,3,87,31,157,0.92,2,3500
9,4,285,27,299,1.02,2,5130
6,9,312,56,424,1.16,3,5934
9,4,177,57,305,1.29,3,5138
2,8,240,27,256,1.11,3,3781
4,3,340,30,353,0.88,1,6710
5,6,141,51,282,1.12,3,4501
3,6,347,60,453,0.94,3,6604
7,4,215,70,370,1.15,2,7406
9,5,117,21,165,1.13,3,3500
3,3,189,84,399,0.91,2,7096
3,4,269,56,373,1.05,3,5646
6,7,350,21,358,0.98,3,4535
3,4,215,34,260,1.18,1,6999
6,5,187,63,331,1.16,2,7058
9,5,106,31,197,1.04,2,3500
2,3,250,36,328,1.29,1,9447
9,7,298,21,288,0.88,3,3500
4,7,98,67,296,1.1,2,5683
4,3,237,66,369,1.25,1,10311
5,8,132,65,315,1.25,2,6866
4,4,163,42,262,0.86,3,3584
7,9,290,51,382,0.92,3,4580
3,6,99,80,313,0.94,2,5270
7,5,196,48,281,1.15,2,5383
7,5,115,55,259,1.14,2,5078
7,3,139,53,261,1.11,2,5346
2,3,302,64,433,1.05,3,7243
3,6,177,52,279,1.17,1,7256
5,5,300,28,325,1.13,3,4995
3,8,233,84,437,1.15,2,8474
8,8,231,90,442,0.94,3,5325
8,8,169,58,314,1.1,1,6814
6,5,187,75,391,1.12,2,7618
9,6,306,47,397,1.06,3,5488
4,8,123,56,278,1.15,3,4537
7,3,200,59,331,1.21,1,8184
2,3,205,80,423,1.23,1,12969
9,6,179,69,361,1.03,1,7459
2,9,134,74,323,0.93,3,4329
9,3,207,35,279,0.91,2,4509
7,9,306,84,503,1.22,3,6640
9,4,323,77,485,1.19,3,7766
6,9,346,82,542,0.96,2,8394
3,8,226,50,327,1.0,3,4621
3,4,157,49,276,1.16,3,5007
5,3,292,72,450,1.09,2,8269
2,4,295,69,460,1.28,1,13984
8,6,83,65,260,1.19,2,5055
5,6,192,54,322,1.07,2,6526
7,8,287,41,361,1.26,3,5637
2,6,93,30,171,0.91,2,3500
4,3,213,68,374,0.95,2,6678
7,9,274,55,390,0.96,1,7313
9,3,106,64,270,1.14,3,4123
2,9,95,51,221,1.23,3,3821
4,4,144,80,342,1.1,1,8756
9,8,211,67,359,1.12,3,4812
3,9,163,59,293,1.11,2,5985
8,6,181,29,248,1.16,3,3564
5,3,234,35,308,1.2,2,6805
8,8,269,28,311,1.14,1,6422
8,9,330,33,370,1.28,3,5291
9,8,158,75,342,1.18,3,4878
6,7,327,79,505,1.22,3,8369
6,5,205,31,254,1.25,1,6653
9,7,274,63,389,1.07,2,6255
4,6,188,65,341,1.0,3,4605
6,7,85,86,318,0.89,3,3715
8,6,203,80,413,1.05,1,8210
3,5,193,71,362,0.99,3,5250
7,6,256,74,441,1.0,3,5802
9,5,236,52,338,0.9,1,5899
7,3,174,44,264,1.18,2,5998
6,3,179,57,308,1.01,2,5698
2,8,144,55,262,1.29,3,5050
6,8,144,82,347,1.24,3,5628
6,6,325,76,489,0.93,1,8441
6,9,324,34,345,1.03,1,6840
2,4,156,58,283,1.3,1,8861
8,7,195,86,418,1.05,2,7751
6,9,299,59,432,1.13,3,6212
3,9,186,47,285,1.15,1,7007
5,4,118,40,194,1.03,3,3500
9,5,96,49,221,1.17,3,3500
9,3,199,53,338,1.12,1,7911
8,3,195,39,270,1.22,1,6986
2,4,237,56,365,0.91,3,5528
6,8,286,54,402,1.09,2,6864
3,7,100,75,305,1.12,1,8035
3,4,90,54,250,0.87,1,4723
9,7,306,55,400,1.3,2,8139
9,3,320,64,454,1.0,3,6638
3,9,162,62,321,1.16,2,6212
8,9,98,78,297,0.99,2,4305
3,9,286,85,463,1.15,3,7514
9,6,107,44,230,1.01,2,3515
9,9,106,46,219,1.1,2,3500
9,8,328,35,348,1.29,3,5365
5,8,161,59,320,0.86,2,4409
3,4,138,79,334,1.14,1,9102
9,8,229,85,435,1.04,2,6426
9,4,313,90,509,1.02,3,7230
4,9,115,55,263,1.0,3,3500
6,9,81,56,231,1.23,3,3592
9,9,156,77,369,1.07,2,5987
8,6,244,44,322,1.11,1,6461
8,3,242,80,437,1.02,3,6143
4,6,98,36,198,1.28,2,4905
3,9,305,32,353,1.26,1,8615
4,6,159,29,224,1.2,2,4928
7,7,283,30,317,1.23,3,5132
8,5,329,89,512,1.13,1,11816
6,4,126,75,311,1.19,3,4946
3,6,165,58,287,0.87,1,5232
6,5,271,75,430,0.96,2,7395
4,4,169,30,244,1.24,3,4645
5,6,153,49,278,1.14,2,5660
6,8,84,79,302,1.15,1,6958
3,6,256,58,398,1.28,3,7361
6,6,234,45,326,1.23,1,8328
5,6,263,57,379,0.86,3,4667
8,5,84,26,163,1.19,2,3500
5,7,260,48,372,0.94,2,6606
4,8,129,25,177,1.2,1,4547
7,8,147,31,208,1.0,2,3500
4,4,147,89,387,1.09,2,8239
4,5,326,57,432,1.21,2,9218
3,4,195,70,381,1.01,2,7783
2,5,143,78,351,1.15,3,6702
6,7,275,67,407,1.15,2,7523
2,7,247,48,325,1.14,2,7314
6,8,289,34,321,0.87,1,5613
6,6,139,32,202,1.25,1,5397
8,6,269,89,488,1.11,3,7615
4,6,130,82,369,1.03,2,6820
2,8,269,47,364,1.05,1,8139
7,3,268,89,483,0.88,2,7146
5,3,312,31,335,1.14,3,5486
2,3,250,51,341,1.2,1,9980
3,9,186,47,283,1.0,1,6062
2,5,154,36,245,0.96,1,5614
3,8,93,36,162,1.01,1,3667
7,3,169,53,277,0.91,2,4438
3,8,112,80,337,1.2,3,6224
3,6,337,48,432,0.87,3,5547
6,6,95,27,167,1.23,2,3992
3,6,307,29,317,0.99,1,7262
3,4,220,90,446,1.02,3,6779
6,6,338,75,481,1.21,1,11310
5,6,311,49,401,1.0,2,7244
8,6,128,60,289,0.99,2,4541
7,4,322,28,326,1.22,1,8530
8,3,270,36,339,0.88,3,4161
7,8,142,72,331,1.24,2,6504
2,5,239,65,372,1.11,1,9310
4,8,326,48,390,1.01,3,5075
7,3,222,48,328,1.23,3,5552
2,7,216,23,232,0.97,2,4420
7,5,83,43,184,1.1,2,3500
3,4,95,31,182,0.95,2,3500
9,5,160,67,328,1.17,3,4905
3,3,159,40,266,0.87,1,5616
6,6,297,82,501,1.05,2,8603
5,9,342,34,377,1.04,2,6542
9,7,237,25,258,1.03,3,3500
2,3,184,58,314,1.2,2,7249
6,5,141,20,183,1.19,1,4644
4,6,197,84,424,1.23,2,9741
3,6,101,75,286,1.06,1,7170
7,7,299,71,472,1.04,1,10072
8,3,246,41,338,1.06,3,4546
7,3,303,33,336,1.05,2,5917
3,6,238,63,373,1.0,1,8584
3,7,138,87,383,0.94,2,6763
7,8,155,50,260,0.92,1,4682
4,7,158,29,204,1.28,3,4434
9,6,309,61,450,0.99,2,7112
3,6,306,58,415,1.12,2,9184
3,5,316,77,465,0.88,2,8179
3,8,126,84,356,1.06,3,5590
2,6,176,61,341,1.06,1,8208
2,6,132,63,279,1.08,1,7216
2,4,304,76,484,1.09,1,12179
7,5,224,69,392,1.2,3,6291
2,9,251,28,285,0.89,3,3573
8,5,209,39,285,0.89,3,3500
4,5,238,70,388,1.12,1,10787
6,7,272,62,391,1.15,3,5466
3,8,296,85,494,0.86,2,7881
4,4,254,82,441,0.95,1,8740
4,3,231,32,292,1.2,3,5277
2,8,252,36,327,1.02,1,7783
4,9,164,76,341,1.03,3,4808
5,6,225,77,405,1.09,2,7367
9,9,179,67,360,1.29,2,6525
6,9,275,84,485,1.04,1,10053
5,9,150,52,259,1.14,2,4710
3,8,344,35,378,0.89,1,7318
6,6,342,38,394,0.89,1,7216
9,5,93,73,276,1.03,2,4356
5,6,121,67,291,0.86,1,5865
7,9,154,37,216,0.98,2,3500
4,9,320,77,506,0.85,1,7911
2,5,190,39,284,1.27,3,5714
8,3,227,50,330,0.9,1,5870
8,8,314,28,322,1.23,2,6358
2,8,343,50,413,0.98,1,8602
7,4,293,43,348,1.09,2,6508
3,7,339,84,538,0.86,2,8688
2,8,278,67,419,1.19,2,9593
3,5,203,33,278,1.18,2,5883
4,3,260,89,476,1.22,1,13211
9,8,325,43,377,0.88,2,4822
2,5,183,25,213,1.25,2,5053
6,7,283,89,503,0.96,3,7046
5,5,262,26,288,0.97,2,5130
8,6,305,69,452,1.29,2,8769
9,5,345,54,423,1.18,1,9923
8,7,172,89,402,0.99,1,8306
7,8,231,59,369,1.12,2,6912
4,8,307,64,445,0.87,2,6234
8,5,109,29,194,1.03,3,3500
4,3,153,76,332,0.91,1,7433
7,5,276,24,310,0.92,2,4654
7,5,307,29,348,0.91,2,5477
8,5,222,51,317,0.86,1,5566
9,7,278,35,323,1.2,3,4496
9,4,226,82,418,0.91,1,7352
9,4,307,31,338,1.15,3,4209
3,7,228,58,346,1.17,3,5628
4,9,265,85,461,0.9,1,8384
4,4,332,23,337,1.1,2,6572
9,9,146,31,193,0.99,3,3500
9,7,290,72,464,0.88,2,5765
3,6,318,86,514,0.91,3,6842
4,9,146,75,353,1.26,1,9163
3,7,158,58,290,0.92,3,4191
5,5,345,56,429,0.96,3,5504
6,4,235,88,437,1.08,1,10672
4,4,252,25,257,0.89,3,3500
6,8,187,73,387,1.14,2,6885
6,8,234,81,425,1.21,3,6908
8,5,312,29,319,0.92,2,4855
9,6,184,63,354,0.91,3,3880
7,8,256,71,405,1.19,3,6153
3,5,203,79,386,0.97,1,8407
4,3,105,57,259,1.24,2,6227
5,9,161,61,327,1.17,1,7854
4,6,343,79,522,1.25,2,12795
2,3,281,84,485,1.29,1,14371
7,3,105,56,263,1.12,3,4588
9,5,84,33,173,0.91,2,3500
7,9,286,66,408,1.03,3,5193
5,5,227,29,272,1.08,3,4354
6,9,140,36,206,1.03,2,3500
7,9,153,45,275,1.08,3,3583
2,3,99,37,191,1.21,3,3733
9,4,343,37,385,1.27,2,7705
4,6,233,63,387,1.22,3,6660
9,8,233,80,407,1.02,3,5155
3,6,237,23,276,1.06,3,4454
5,8,106,81,317,1.09,3,4515
8,4,204,24,251,1.28,1,6731
5,3,305,60,430,0.92,3,6015
5,6,336,80,491,1.17,3,8436
5,7,246,81,452,1.02,1,9861
9,7,255,89,473,1.15,3,6342
6,7,327,44,388,0.98,2,6194
5,5,227,46,330,0.99,2,6100
6,5,142,89,384,1.25,2,8636
7,9,154,57,276,0.98,3,3500
3,5,306,52,410,0.95,3,5980
6,7,219,37,272,1.13,3,4384
5,4,105,87,339,1.14,1,8262
3,6,249,80,425,1.16,1,11364
2,7,160,72,354,1.06,1,8395
6,5,226,27,246,1.14,1,5811
2,4,293,42,342,1.3,2,9386
9,4,228,24,234,0.98,3,3500
3,5,225,78,428,1.09,1,11115
9,5,178,34,245,0.92,2,3803
6,8,175,21,204,1.21,3,3500
5,4,287,74,463,1.0,2,8790
3,4,151,81,363,1.27,1,10599
6,6,200,77,388,1.28,2,8635
2,5,264,50,344,1.15,2,7711
6,4,287,84,480,1.16,3,7971
6,5,193,48,286,1.07,2,5502
7,6,321,88,513,1.19,3,7766
3,7,308,87,510,0.89,3,7347
3,3,338,45,421,1.09,1,10377
7,9,346,76,491,1.16,3,6662
9,3,341,77,486,1.05,3,7114
8,6,109,79,323,1.18,2,6360
6,9,81,47,222,0.88,2,3500
7,8,112,89,339,1.27,1,8475
9,3,226,72,387,1.2,3,6116
8,5,275,77,455,1.02,3,5808
4,8,258,35,302,1.3,2,6868
4,8,194,20,196,1.29,2,4257
8,7,274,49,361,1.06,1,7572
6,4,137,24,187,1.13,1,4482
5,4,114,32,205,0.87,3,3500
2,4,102,71,302,0.96,1,6850
2,4,337,57,434,1.22,3,8651
7,7,244,50,344,1.24,3,5386
5,6,233,55,334,1.1,3,4971
4,8,298,83,470,1.29,3,8556
8,9,348,60,464,1.03,2,7290
8,4,322,50,401,0.99,3,5171
4,9,317,27,349,1.04,2,6045
4,6,204,52,312,1.0,1,6881
9,9,269,31,322,1.18,1,6163
2,5,273,25,277,0.93,3,3758
5,6,186,62,333,1.28,1,8698
5,4,140,81,350,1.16,3,5899
5,6,202,90,431,1.2,2,9265
9,7,263,59,383,1.01,2,6316
9,3,320,60,429,1.02,2,7517
2,7,193,38,249,0.97,3,3610
8,5,158,45,262,0.95,3,3500
5,6,252,52,368,1.28,3,6314
9,6,166,65,317,0.91,3,3579
9,4,110,87,331,1.23,1,7779
2,9,83,72,270,1.23,1,7309
3,8,157,21,181,1.08,2,3500
2,7,327,82,488,0.85,3,6412
8,3,88,87,328,1.09,2,6557
2,7,300,42,352,1.26,3,6646
4,4,178,87,399,1.22,2,9390
8,3,271,71,438,1.1,3,6792
5,5,121,24,153,1.03,2,3500
9,3,84,41,175,1.07,2,3500
7,7,128,87,345,0.95,3,4261
9,5,103,29,166,1.25,3,3500
2,4,241,22,251,1.11,3,4288
8,3,233,40,322,0.96,2,5272
7,6,151,30,222,1.19,2,4489
2,3,303,49,373,1.0,3,6530
8,9,247,23,286,0.97,2,4381
9,4,262,90,483,1.04,3,7191
8,3,231,51,321,0.89,1,5616
8,8,158,69,333,1.01,1,6485
2,5,307,66,440,0.9,1,9408
4,6,309,85,508,0.9,1,11059
7,7,127,61,288,0.86,2,3860
8,9,123,51,267,1.08,3,3500
8,4,151,54,281,0.97,1,5301
3,4,302,55,412,0.98,1,8428
7,5,206,83,431,1.13,2,8023
3,4,235,20,253,1.0,3,3789
8,9,248,76,427,1.04,3,5393
4,5,244,45,340,0.99,2,6347
7,5,331,51,417,1.02,2,7871
7,3,182,89,403,1.16,3,6893
2,8,316,46,398,1.21,3,6900
3,9,289,83,468,1.14,1,10733
6,8,158,74,352,0.88,3,4167
9,7,285,88,504,1.27,3,7272
8,7,98,66,290,1.12,1,6690
3,9,207,65,350,1.14,1,8900
8,9,249,75,410,0.85,2,5128
5,7,345,48,428,1.02,2,6897
4,5,92,81,302,0.98,1,7030
3,9,152,64,312,1.0,1,6534
9,5,323,32,362,1.17,2,7124
7,3,233,25,248,0.86,2,3500
3,8,164,51,297,0.93,1,5766
7,7,298,79,469,1.21,3,7376
4,4,301,70,431,1.18,1,11568
9,7,299,69,426,1.17,1,8890
6,9,112,33,202,0.93,2,3500
5,6,138,53,280,1.09,3,4077
7,7,278,70,449,0.9,2,6517
9,7,168,58,327,1.12,3,4482
4,5,140,50,261,0.9,2,4467
4,7,278,73,459,0.91,2,7698
8,4,329,88,518,1.1,2,8984
6,4,175,60,328,1.13,2,6094
2,6,149,44,255,1.28,3,5341
9,6,331,73,491,1.07,1,9949
2,9,192,57,306,0.97,3,4125
6,4,314,83,515,1.08,3,8538
3,5,267,89,462,1.19,2,10550
5,6,132,51,257,1.24,1,7143
9,5,258,31,307,1.24,1,7260
5,4,259,74,419,1.13,1,11506
5,9,110,64,294,0.98,3,4152
4,5,229,57,370,0.97,3,5256
3,4,290,27,310,1.24,1,9413
4,4,154,61,301,1.19,3,5593
8,6,152,54,303,1.04,2,5404
3,8,127,71,326,1.19,3,5297
7,6,329,61,463,0.85,3,5399
3,8,314,65,430,1.21,2,9825
5,6,188,83,396,1.0,2,6371
7,7,146,82,363,1.25,1,8321
2,3,315,22,305,1.27,1,8517
9,6,80,74,278,1.3,1,6641
6,4,220,31,272,0.96,2,4817
4,3,282,59,396,1.04,1,10244
3,3,189,81,378,0.91,1,8221
9,3,84,63,243,1.29,2,5584
4,6,116,49,243,0.89,1,4389
3,5,268,58,376,1.02,1,8033
4,3,84,41,198,1.01,1,4614
4,6,306,47,370,1.25,1,10277
3,7,276,64,419,0.99,1,9102
5,5,123,51,266,1.12,3,3846
6,9,93,58,241,1.08,3,3500
5,8,280,57,378,1.2,1,8609
9,6,137,50,270,1.14,1,5925
2,5,242,36,305,1.24,3,6045
8,5,168,80,358,0.86,1,5767
2,5,190,25,210,1.28,2,5138
6,8,336,73,494,1.17,1,10780
4,5,122,59,259,1.08,1,6203
4,7,247,70,424,1.14,3,7211
3,5,303,50,375,0.96,2,6530
3,6,108,59,254,0.9,3,3505
4,8,85,40,199,1.28,3,3500
6,4,270,36,321,1.18,1,7774
2,5,299,54,414,0.88,3,5687
3,6,313,85,508,0.87,3,6268
4,5,160,52,270,1.25,3,4867
3,4,340,20,314,1.24,1,8548
5,3,321,66,458,1.26,1,14237
2,7,294,48,379,0.96,3,5492
7,5,119,67,283,1.08,1,5988
4,4,344,25,355,0.88,2,5970
6,9,239,61,359,1.1,1,7569
7,4,229,58,376,0.96,2,6160
9,9,180,89,406,0.92,2,5610
2,4,257,21,269,0.85,3,3799
8,9,237,33,281,1.09,1,5391
8,6,110,38,199,0.89,1,3500
8,8,270,78,435,1.11,3,5865
4,8,281,29,328,1.11,2,5614
4,4,229,53,342,1.27,2,7591
7,5,311,54,404,0.88,1,7711
4,9,135,39,211,0.92,2,3583
7,6,141,88,378,1.28,1,9507
9,5,317,53,399,0.89,3,4629
6,9,100,47,221,0.92,3,3500
5,5,282,85,463,1.15,2,11059
4,3,287,77,475,1.19,1,13810
3,6,132,37,203,0.86,1,3892
4,4,285,67,449,1.27,1,12321
6,9,118,22,144,0.94,3,3500
9,9,145,31,210,0.91,2,3500
2,4,301,70,461,0.86,3,6107
8,4,261,47,340,0.97,2,5118
4,3,205,57,346,1.04,3,5371
9,3,124,55,268,0.91,1,4560
5,8,89,68,277,1.07,2,5437
7,7,337,61,456,0.97,1,9001
7,7,192,23,219,0.88,2,3500
7,9,199,40,265,0.96,1,5103
6,7,108,48,246,1.23,2,5091
7,9,168,42,255,1.12,3,3500
7,7,94,65,286,1.1,3,4399
5,9,332,89,531,0.93,1,10077
3,3,199,48,284,1.09,1,6988
7,7,183,36,255,1.17,2,4800
2,3,155,38,225,1.23,2,5399
3,5,282,32,322,0.99,1,6794
